SSID; BSS; RSSI; Kanal; Datum
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-77""";" ""1""";" ""18:10:55"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-75""";" ""1""";" ""18:10:58"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-77""";" ""1""";" ""18:11:02"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-86""";" ""1""";" ""18:10:55"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-87""";" ""1""";" ""18:10:58"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-83""";" ""1""";" ""18:11:02"""
;" ""7E:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:10:55"""
;" ""7E:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:10:58"""
;" ""7E:8A:20:0F:32:63""";" ""-84""";" ""6""";" ""18:11:02"""
;" ""1E:E8:29:ED:30:6E""";" ""-90""";" ""11""";" ""18:10:55"""
;" ""1E:E8:29:ED:30:6E""";" ""-90""";" ""11""";" ""18:10:58"""
;" ""1E:E8:29:ED:30:6E""";" ""-87""";" ""11""";" ""18:11:02"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-95""";" ""9""";" ""18:11:02"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:10:55"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:10:58"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:11:02"""
Uhrenmuseum;" ""B4:FB:E4:CF:A0:CD""";" ""-93""";" ""11""";" ""18:10:55"""
Uhrenmuseum;" ""B4:FB:E4:CF:A0:CD""";" ""-93""";" ""11""";" ""18:10:58"""
Uhrenmuseum;" ""B4:FB:E4:CF:A0:CD""";" ""-93""";" ""11""";" ""18:11:02"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-77""";" ""6""";" ""18:10:55"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-77""";" ""6""";" ""18:10:58"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-77""";" ""6""";" ""18:11:02"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-76""";" ""44""";" ""18:10:55"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:10:58"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-74""";" ""44""";" ""18:11:02"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-77""";" ""1""";" ""18:10:55"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-75""";" ""1""";" ""18:10:58"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-79""";" ""1""";" ""18:11:02"""
;" ""BA:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:10:55"""
;" ""BA:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:10:58"""
;" ""BA:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:11:02"""
HFU Guest;" ""18:E8:29:EE:30:A7""";" ""-82""";" ""40""";" ""18:10:55"""
HFU Guest;" ""18:E8:29:EE:30:A7""";" ""-81""";" ""40""";" ""18:10:58"""
HFU Guest;" ""18:E8:29:EE:30:A7""";" ""-80""";" ""40""";" ""18:11:02"""
